SOC_Q,TC_Q,Grind,Temp ,Sieve,ID,Site,Procedure,Replicate,RepID,Time,pct_sand,pct_silt,pct_clay,pct_coarse,pct_rock,pct_plant,pct_N,pct_TC ,pct_SIC ,pct_SOC,Fizz ,C_conc
PT,EA,Roller Table,105,8+2,A_P0_1,A,P0,1,A1,6.45,30.33,35.91,33.76,1.37,1.21,0.16,0.3,3.93,0.62,3.31,P,high
PT,EA,Roller Table,105,8+2,A_P0_2,A,P0,2,A2,7.87,30.33,35.91,33.76,0.99,0.82,0.17,0.34,4.61,0.7,3.91,P,high
PT,EA,Roller Table,105,8+2,A_P0_3,A,P0,3,A3,7.84,30.33,35.91,33.76,1.68,1.49,0.19,0.33,4.52,0.69,3.83,P,high
PT,EA,Roller Table,105,8+2,A_P0_4,A,P0,4,A4,7.38,30.33,35.91,33.76,1.65,1.4,0.25,0.32,4,0.66,3.34,P,high
PT,EA,Roller Table,105,8+2,A_P0_5,A,P0,5,A5,6.14,30.33,35.91,33.76,1.05,0.73,0.32,0.3,4.24,0.73,3.51,P,high
PT,EA,Roller Table,105,8+2,B_P0_1,B,P0,1,B1,13.37,19.59,45.1,35.31,0.56,0.16,0.4,0.28,3.38,0.51,2.87,P,high
PT,EA,Roller Table,105,8+2,B_P0_2,B,P0,2,B2,10.69,19.59,45.1,35.31,1,0.69,0.31,0.22,2.75,0.62,2.13,P,high
PT,EA,Roller Table,105,8+2,B_P0_3,B,P0,3,B3,10.74,19.59,45.1,35.31,0.42,0.13,0.29,0.3,3.5,0.4,3.1,P,high
PT,EA,Roller Table,105,8+2,B_P0_4,B,P0,4,B4,7.46,19.59,45.1,35.31,1.03,0.56,0.47,0.23,2.73,0.67,2.06,P,high
PT,EA,Roller Table,105,8+2,B_P0_5,B,P0,5,B5,10.89,19.59,45.1,35.31,0.26,0,0.26,0.25,3.21,0.61,2.6,P,high
PT,EA,Roller Table,105,8+2,C_P0_1,C,P0,1,C1,9.64,47.71,26.57,25.72,4.43,4.02,0.41,0.14,1.37,0,1.37, N,low
PT,EA,Roller Table,105,8+2,C_P0_2,C,P0,2,C2,8.4,47.71,26.57,25.72,5.09,4.89,0.2,0.14,1.35,0,1.35, N,low
PT,EA,Roller Table,105,8+2,C_P0_3,C,P0,3,C3,6.85,47.71,26.57,25.72,3.89,3.59,0.3,0.15,1.37,0,1.37, N,low
PT,EA,Roller Table,105,8+2,C_P0_4,C,P0,4,C4,8.69,47.71,26.57,25.72,7.33,6.91,0.43,0.14,1.27,0,1.27, N,low
PT,EA,Roller Table,105,8+2,C_P0_5,C,P0,5,C5,11.22,47.71,26.57,25.72,4.42,4.22,0.2,0.12,1.17,0,1.17, N,low
PT,EA,Roller Table,105,8+2,D_P0_1,D,P0,1,D1,3.73,43.91,27.91,28.18,0.09,0.04,0.05,0.1,1.63,0.85,0.78,P,low
PT,EA,Roller Table,105,8+2,D_P0_2,D,P0,2,D2,3.75,43.91,27.91,28.18,0.19,0.12,0.07,0.11,1.69,0.87,0.82,P,low
PT,EA,Roller Table,105,8+2,D_P0_3,D,P0,3,D3,3.98,43.91,27.91,28.18,0.06,0.04,0.02,0.11,1.69,0.84,0.85,P,low
PT,EA,Roller Table,105,8+2,D_P0_4,D,P0,4,D4,4.29,43.91,27.91,28.18,0.17,0.14,0.04,0.14,1.78,0.88,0.9,P,low
PT,EA,Roller Table,105,8+2,D_P0_5,D,P0,5,D5,3.92,43.91,27.91,28.18,0.32,0.29,0.03,0.11,1.73,0.85,0.89,P,low
PT,EA,Roller Table,105,8+2,E_P0_1,E,P0,1,E1,5.89,23.8,65.96,10.24,1,0.68,0.32,0.11,1.06,0,1.06, N,low
PT,EA,Roller Table,105,8+2,E_P0_2,E,P0,2,E2,3.97,23.8,65.96,10.24,0.39,0.02,0.37,0.12,1.18,0,1.18, N,low
PT,EA,Roller Table,105,8+2,E_P0_3,E,P0,3,E3,5.08,23.8,65.96,10.24,0.18,0,0.18,0.12,1.09,0,1.09, N,low
PT,EA,Roller Table,105,8+2,E_P0_4,E,P0,4,E4,4.6,23.8,65.96,10.24,0.14,0,0.14,0.12,1.08,0,1.08, N,low
PT,EA,Roller Table,105,8+2,E_P0_5,E,P0,5,E5,6.51,23.8,65.96,10.24,0.24,0,0.24,0.12,1.11,0,1.11, N,low
PT,EA,Roller Table,105,8+2,F_P0_1,F,P0,1,F1,5.01,40.54,41.69,17.77,6.87,6.77,0.1,0.11,1.06,0,1.06, N,low
PT,EA,Roller Table,105,8+2,F_P0_2,F,P0,2,F2,6.61,40.54,41.69,17.77,3.76,3.57,0.19,0.11,1.01,0,1.01, N,low
PT,EA,Roller Table,105,8+2,F_P0_3,F,P0,3,F3,6.8,40.54,41.69,17.77,3.37,3.18,0.19,0.13,1.13,0,1.13, N,low
PT,EA,Roller Table,105,8+2,F_P0_4,F,P0,4,F4,5.61,40.54,41.69,17.77,3.8,3.69,0.11,0.12,1.04,0,1.04, N,low
PT,EA,Roller Table,105,8+2,F_P0_5,F,P0,5,F5,5.38,40.54,41.69,17.77,3.44,3.27,0.16,0.12,1.09,0,1.09, N,low
PT,EA,Roller Table,105,8+2,G_P0_1,G,P0,1,G1,8,54.26,16.54,29.2,1.45,1.06,0.39,0.14,1.37,0,1.37, N,low
PT,EA,Roller Table,105,8+2,G_P0_2,G,P0,2,G2,7.38,54.26,16.54,29.2,1.35,1.03,0.32,0.13,1.33,0,1.33, N,low
PT,EA,Roller Table,105,8+2,G_P0_3,G,P0,3,G3,7.23,54.26,16.54,29.2,1.27,0.77,0.5,0.13,1.38,0,1.38, N,low
PT,EA,Roller Table,105,8+2,G_P0_4,G,P0,4,G4,5.64,54.26,16.54,29.2,1.11,0.79,0.32,0.13,1.3,0,1.3, N,low
PT,EA,Roller Table,105,8+2,G_P0_5,G,P0,5,G5,7.97,54.26,16.54,29.2,0.97,0.6,0.37,0.16,1.52,0,1.52, N,low
PT,EA,Roller Table,105,8+2,H_P0_1,H,P0,1,H1,12.77,25.45,54.51,20.04,9.88,9.01,0.88,0.24,7.27,4.65,2.62,P,high
PT,EA,Roller Table,105,8+2,H_P0_2,H,P0,2,H2,13.33,25.45,54.51,20.04,13.51,12.58,0.93,0.26,7.17,5.4,1.77,P,high
PT,EA,Roller Table,105,8+2,H_P0_3,H,P0,3,H3,11.06,25.45,54.51,20.04,13.6,12.63,0.96,0.25,7.18,4.47,2.72,P,high
PT,EA,Roller Table,105,8+2,H_P0_4,H,P0,4,H4,11.84,25.45,54.51,20.04,14.8,13.69,1.1,0.23,7.19,5.24,1.95,P,high
PT,EA,Roller Table,105,8+2,H_P0_5,H,P0,5,H5,13.08,25.45,54.51,20.04,13.26,12.19,1.07,0.23,7.22,4.56,2.66,P,high
PT,EA,Roller Table,105,8+2,I_P0_1,I,P0,1,I1,4,31.66,45.67,22.67,0.08,0,0.08,0.14,1.55,0,1.55,N,low
PT,EA,Roller Table,105,8+2,I_P0_2,I,P0,2,I2,4.3,31.66,45.67,22.67,0.2,0,0.2,0.14,1.43,0,1.43,N,low
PT,EA,Roller Table,105,8+2,I_P0_3,I,P0,3,I3,4.33,31.66,45.67,22.67,0.11,0.06,0.05,0.14,1.37,0,1.37,N,low
PT,EA,Roller Table,105,8+2,I_P0_4,I,P0,4,I4,4.32,31.66,45.67,22.67,0.28,0.08,0.19,0.14,1.41,0,1.41,N,low
PT,EA,Roller Table,105,8+2,I_P0_5,I,P0,5,I5,4.32,31.66,45.67,22.67,0.06,0,0.06,0.12,1.27,0,1.27,N,low
PT,EA,Roller Table,105,8+2,J_P0_1,J,P0,1,J1,7.71,5.12,59.04,35.84,0.12,0.07,0.05,0.29,3.13,0,3.13,N,high
PT,EA,Roller Table,105,8+2,J_P0_2,J,P0,2,J2,5.46,5.12,59.04,35.84,0.3,0.23,0.06,0.32,3.53,0,3.53,N,high
PT,EA,Roller Table,105,8+2,J_P0_3,J,P0,3,J3,7.79,5.12,59.04,35.84,0.06,0.03,0.03,0.3,3.35,0,3.35,N,high
PT,EA,Roller Table,105,8+2,J_P0_4,J,P0,4,J4,8.02,5.12,59.04,35.84,0.03,0,0.03,0.31,3.31,0,3.31,N,high
PT,EA,Roller Table,105,8+2,J_P0_5,J,P0,5,J5,6.38,5.12,59.04,35.84,0.03,0,0.03,0.27,3.16,0,3.16,N,high
PT,EA,Roller Table,105,8+2,K_P0_1,K,P0,1,K1,3.99,46.02,31.44,22.54,0.46,0.4,0.06,0.21,2.23,0.17,2.06,P,high
PT,EA,Roller Table,105,8+2,K_P0_2,K,P0,2,K2,3.66,46.02,31.44,22.54,0.66,0.62,0.03,0.22,2.62,0.16,2.46,P,high
PT,EA,Roller Table,105,8+2,K_P0_3,K,P0,3,K3,3.94,46.02,31.44,22.54,3.39,3.38,0,0.21,2.51,0.18,2.33,P,high
PT,EA,Roller Table,105,8+2,K_P0_4,K,P0,4,K4,3.94,46.02,31.44,22.54,0.78,0.72,0.06,0.2,2.43,0.17,2.26,P,high
PT,EA,Roller Table,105,8+2,K_P0_5,K,P0,5,K5,3.66,46.02,31.44,22.54,0.62,0.56,0.06,0.23,2.73,0.18,2.55,P,high
PT,EA,Roller Table,105,8+2,L_P0_1,L,P0,1,L1,5.39,47.49,29.58,22.93,1.35,1.34,0.01,0.21,2.83,0.47,2.36,P,high
PT,EA,Roller Table,105,8+2,L_P0_2,L,P0,2,L2,4.78,47.49,29.58,22.93,0.52,0.47,0.04,0.19,2.62,0.35,2.27,P,high
PT,EA,Roller Table,105,8+2,L_P0_3,L,P0,3,L3,3.7,47.49,29.58,22.93,0.85,0.71,0.14,0.25,3.33,0.39,2.94,P,high
PT,EA,Roller Table,105,8+2,L_P0_4,L,P0,4,L4,3.98,47.49,29.58,22.93,0.72,0.71,0.01,0.24,3.2,0.58,2.62,P,high
PT,EA,Roller Table,105,8+2,L_P0_5,L,P0,5,L5,4.53,47.49,29.58,22.93,1.71,1.67,0.04,0.2,2.93,0.37,2.56,P,high
PT,EA,Roller Table,105,4,A_P1_1,A,P1,1,A1,5.01,30.33,35.91,33.76,0.52,0.19,0.33,0.31,4.43,0.62,3.81,P,high
PT,EA,Roller Table,105,4,A_P1_2,A,P1,2,A2,4.11,30.33,35.91,33.76,0.39,0.12,0.27,0.32,4.07,0.68,3.39,P,high
PT,EA,Roller Table,105,4,A_P1_3,A,P1,3,A3,4.7,30.33,35.91,33.76,1.25,0.89,0.37,0.36,4.71,0.79,3.92,P,high
PT,EA,Roller Table,105,4,A_P1_4,A,P1,4,A4,4.01,30.33,35.91,33.76,0.29,0.14,0.15,0.35,4.48,0.73,3.76,P,high
PT,EA,Roller Table,105,4,A_P1_5,A,P1,5,A5,4.7,30.33,35.91,33.76,0.44,0.27,0.17,0.27,3.88,0.76,3.12,P,high
PT,EA,Roller Table,105,4,B_P1_1,B,P1,1,B1,7.45,19.59,45.1,35.31,0.48,0,0.48,0.35,4.36,0.58,3.78,P,high
PT,EA,Roller Table,105,4,B_P1_2,B,P1,2,B2,4.15,19.59,45.1,35.31,0.37,0,0.37,0.26,3,0.66,2.34,P,high
PT,EA,Roller Table,105,4,B_P1_3,B,P1,3,B3,7.74,19.59,45.1,35.31,0.24,0,0.24,0.31,3.71,0.61,3.1,P,high
PT,EA,Roller Table,105,4,B_P1_4,B,P1,4,B4,5.21,19.59,45.1,35.31,0.7,0.48,0.23,0.2,2.61,0.72,1.89,P,high
PT,EA,Roller Table,105,4,B_P1_5,B,P1,5,B5,6.22,19.59,45.1,35.31,0.93,0.57,0.36,0.23,3.09,0.68,2.41,P,high
PT,EA,Roller Table,105,4,C_P1_1,C,P1,1,C1,10.37,47.71,26.57,25.72,2.93,2.59,0.34,0.14,1.33,0,1.33, N,low
PT,EA,Roller Table,105,4,C_P1_2,C,P1,2,C2,8.33,47.71,26.57,25.72,1.73,1.36,0.36,0.13,1.31,0,1.31, N,low
PT,EA,Roller Table,105,4,C_P1_3,C,P1,3,C3,6.3,47.71,26.57,25.72,2.82,2.34,0.48,0.14,1.32,0,1.32, N,low
PT,EA,Roller Table,105,4,C_P1_4,C,P1,4,C4,7.88,47.71,26.57,25.72,3.32,3.18,0.14,0.14,1.28,0,1.28, N,low
PT,EA,Roller Table,105,4,C_P1_5,C,P1,5,C5,7.26,47.71,26.57,25.72,0.78,0.67,0.1,0.12,1.13,0,1.13, N,low
PT,EA,Roller Table,105,4,D_P1_1,D,P1,1,D1,2.1,43.91,27.91,28.18,0.36,0.35,0.01,0.11,1.69,0.84,0.85,P,low
PT,EA,Roller Table,105,4,D_P1_2,D,P1,2,D2,3.12,43.91,27.91,28.18,0.44,0.15,0.29,0.11,1.72,0.88,0.84,P,low
PT,EA,Roller Table,105,4,D_P1_3,D,P1,3,D3,2,43.91,27.91,28.18,0.02,0,0.02,0.1,1.7,0.87,0.83,P,low
PT,EA,Roller Table,105,4,D_P1_4,D,P1,4,D4,3.02,43.91,27.91,28.18,0.29,0.28,0.02,0.1,1.61,0.89,0.72,P,low
PT,EA,Roller Table,105,4,D_P1_5,D,P1,5,D5,3.01,43.91,27.91,28.18,0.05,0,0.05,0.11,1.67,0.82,0.85,P,low
PT,EA,Roller Table,105,4,E_P1_1,E,P1,1,E1,5.78,23.8,65.96,10.24,0.13,0,0.13,0.12,1.22,0,1.22, N,low
PT,EA,Roller Table,105,4,E_P1_2,E,P1,2,E2,4.17,23.8,65.96,10.24,0.1,0,0.1,0.12,1.15,0,1.15, N,low
PT,EA,Roller Table,105,4,E_P1_3,E,P1,3,E3,3.17,23.8,65.96,10.24,0.17,0,0.17,0.12,1.13,0,1.13, N,low
PT,EA,Roller Table,105,4,E_P1_4,E,P1,4,E4,3.65,23.8,65.96,10.24,0.1,0,0.1,0.11,1.08,0,1.08, N,low
PT,EA,Roller Table,105,4,E_P1_5,E,P1,5,E5,4.16,23.8,65.96,10.24,0.1,0,0.1,0.12,1.09,0,1.09, N,low
PT,EA,Roller Table,105,4,F_P1_1,F,P1,1,F1,3.71,40.54,41.69,17.77,3.33,3.25,0.08,0.11,0.98,0,0.98, N,low
PT,EA,Roller Table,105,4,F_P1_2,F,P1,2,F2,3,40.54,41.69,17.77,2.38,2.22,0.17,0.11,1,0,1, N,low
PT,EA,Roller Table,105,4,F_P1_3,F,P1,3,F3,3.12,40.54,41.69,17.77,2.69,2.63,0.06,0.12,1.04,0,1.04, N,low
PT,EA,Roller Table,105,4,F_P1_4,F,P1,4,F4,2.49,40.54,41.69,17.77,4.49,4.39,0.09,0.11,1.03,0,1.03, N,low
PT,EA,Roller Table,105,4,F_P1_5,F,P1,5,F5,3.08,40.54,41.69,17.77,2.04,1.98,0.06,0.12,1.04,0,1.04, N,low
PT,EA,Roller Table,105,4,G_P1_1,G,P1,1,G1,2.67,54.26,16.54,29.2,0.18,0,0.18,0.13,1.29,0,1.29, N,low
PT,EA,Roller Table,105,4,G_P1_2,G,P1,2,G2,5.16,54.26,16.54,29.2,0.27,0,0.27,0.13,1.32,0,1.32, N,low
PT,EA,Roller Table,105,4,G_P1_3,G,P1,3,G3,3.84,54.26,16.54,29.2,0.32,0,0.32,0.14,1.4,0,1.4, N,low
PT,EA,Roller Table,105,4,G_P1_4,G,P1,4,G4,6.01,54.26,16.54,29.2,0.67,0.29,0.38,0.14,1.39,0,1.39, N,low
PT,EA,Roller Table,105,4,G_P1_5,G,P1,5,G5,7.34,54.26,16.54,29.2,0.66,0.36,0.3,0.12,1.24,0,1.24, N,low
PT,EA,Roller Table,105,4,H_P1_1,H,P1,1,H1,8.02,25.45,54.51,20.04,5.1,4.17,0.93,0.23,7.16,4.57,2.59,P,high
PT,EA,Roller Table,105,4,H_P1_2,H,P1,2,H2,8.93,25.45,54.51,20.04,5.77,5.21,0.56,0.23,7.05,4.83,2.22,P,high
PT,EA,Roller Table,105,4,H_P1_3,H,P1,3,H3,7.43,25.45,54.51,20.04,6.7,6.19,0.5,0.24,7.22,4.35,2.87,P,high
PT,EA,Roller Table,105,4,H_P1_4,H,P1,4,H4,10.33,25.45,54.51,20.04,7.13,5.92,1.21,0.24,6.96,4.5,2.46,P,high
PT,EA,Roller Table,105,4,H_P1_5,H,P1,5,H5,8.83,25.45,54.51,20.04,8.79,7.4,1.39,0.23,6.88,4.73,2.15,P,high
PT,EA,Roller Table,105,4,I_P1_1,I,P1,1,I1,2.62,31.66,45.67,22.67,0.04,0,0.04,0.14,1.41,0,1.41,N,low
PT,EA,Roller Table,105,4,I_P1_2,I,P1,2,I2,2.61,31.66,45.67,22.67,0.01,0,0.01,0.13,1.33,0,1.33,N,low
PT,EA,Roller Table,105,4,I_P1_3,I,P1,3,I3,8.97,31.66,45.67,22.67,0,0,0,0.15,1.53,0,1.53,N,low
PT,EA,Roller Table,105,4,I_P1_4,I,P1,4,I4,2.12,31.66,45.67,22.67,0.04,0,0.04,0.14,1.41,0,1.41,N,low
PT,EA,Roller Table,105,4,I_P1_5,I,P1,5,I5,2.07,31.66,45.67,22.67,0.27,0,0.27,0.13,1.32,0,1.32,N,low
PT,EA,Roller Table,105,4,J_P1_1,J,P1,1,J1,3.18,5.12,59.04,35.84,0.44,0,0.44,0.3,3.32,0,3.32,N,high
PT,EA,Roller Table,105,4,J_P1_2,J,P1,2,J2,4.69,5.12,59.04,35.84,0.05,0,0.05,0.28,3.17,0,3.17,N,high
PT,EA,Roller Table,105,4,J_P1_3,J,P1,3,J3,5.24,5.12,59.04,35.84,0.04,0,0.04,0.29,3.17,0,3.17,N,high
PT,EA,Roller Table,105,4,J_P1_4,J,P1,4,J4,4.74,5.12,59.04,35.84,0.01,0,0.01,0.29,3.23,0,3.23,N,high
PT,EA,Roller Table,105,4,J_P1_5,J,P1,5,J5,3.66,5.12,59.04,35.84,0.13,0,0.13,0.28,3.27,0,3.27,N,high
PT,EA,Roller Table,105,4,K_P1_1,K,P1,1,K1,3.28,46.02,31.44,22.54,1.29,1.24,0.05,0.21,2.36,0.12,2.25,P,high
PT,EA,Roller Table,105,4,K_P1_2,K,P1,2,K2,1.66,46.02,31.44,22.54,0.8,0.8,0,0.22,2.57,0.24,2.33,P,high
PT,EA,Roller Table,105,4,K_P1_3,K,P1,3,K3,2.22,46.02,31.44,22.54,0.17,0.15,0.02,0.23,2.55,0.1,2.45,P,high
PT,EA,Roller Table,105,4,K_P1_4,K,P1,4,K4,1.64,46.02,31.44,22.54,0.52,0.47,0.05,0.24,2.67,0.17,2.5,P,high
PT,EA,Roller Table,105,4,K_P1_5,K,P1,5,K5,2.17,46.02,31.44,22.54,0.22,0.18,0.04,0.26,2.62,0.18,2.44,P,high
PT,EA,Roller Table,105,4,L_P1_1,L,P1,1,L1,2.12,47.49,29.58,22.93,0.3,0.3,0,0.23,3.13,0.46,2.67,P,high
PT,EA,Roller Table,105,4,L_P1_2,L,P1,2,L2,1.59,47.49,29.58,22.93,0.32,0.31,0.01,0.25,3.4,0.48,2.92,P,high
PT,EA,Roller Table,105,4,L_P1_3,L,P1,3,L3,2.63,47.49,29.58,22.93,0.48,0.23,0.25,0.25,3.34,0.52,2.83,P,high
PT,EA,Roller Table,105,4,L_P1_4,L,P1,4,L4,2.16,47.49,29.58,22.93,0.07,0.07,0,0.22,3,0.49,2.51,P,high
PT,EA,Roller Table,105,4,L_P1_5,L,P1,5,L5,2.35,47.49,29.58,22.93,0.23,0.23,0,0.21,3.06,0.48,2.59,P,high
PT,EA,Roller Table,105,2,A_P2_1,A,P2,1,A1,5.08,30.33,35.91,33.76,2.74,2.58,0.16,0.34,4.59,0.76,3.83,P,high
PT,EA,Roller Table,105,2,A_P2_2,A,P2,2,A2,4.62,30.33,35.91,33.76,1.62,1.55,0.07,0.32,4.4,0.78,3.62,P,high
PT,EA,Roller Table,105,2,A_P2_3,A,P2,3,A3,4.16,30.33,35.91,33.76,0.61,0.43,0.17,0.34,4.25,0.77,3.48,P,high
PT,EA,Roller Table,105,2,A_P2_4,A,P2,4,A4,6.45,30.33,35.91,33.76,3.74,3.46,0.28,0.32,4.2,0.68,3.52,P,high
PT,EA,Roller Table,105,2,A_P2_5,A,P2,5,A5,6.27,30.33,35.91,33.76,1.16,1.01,0.15,0.3,4.53,0.88,3.65,P,high
PT,EA,Roller Table,105,2,B_P2_1,B,P2,1,B1,5.8,19.59,45.1,35.31,0.2,0.03,0.18,0.24,2.93,0.67,2.26,P,high
PT,EA,Roller Table,105,2,B_P2_2,B,P2,2,B2,6.26,19.59,45.1,35.31,0.81,0.07,0.74,0.24,2.98,0.63,2.35,P,high
PT,EA,Roller Table,105,2,B_P2_3,B,P2,3,B3,10.47,19.59,45.1,35.31,0.39,0,0.39,0.28,3.4,0.61,2.79,P,high
PT,EA,Roller Table,105,2,B_P2_4,B,P2,4,B4,5.22,19.59,45.1,35.31,0.23,0.1,0.13,0.25,3.12,0.69,2.43,P,high
PT,EA,Roller Table,105,2,B_P2_5,B,P2,5,B5,6.76,19.59,45.1,35.31,0.61,0.35,0.26,0.24,3.01,0.68,2.33,P,high
